,TN,TSCM,TEFF,TPEX,TCM,TEM,TEX,TEMRA
AADACL2-AS1,0.356906488335075,0.480365649542616,0.0350226011235426,0.480287148386331,0.441906368529287,0.780696775682506,0.967604358666064,0.954628841285735
AADACL3,2.04190218110229,2.12872909812535,0.366457378910617,3.25341065281205,2.93796473423082,3.02827972606774,2.85078761827722,2.77589280497748
AADACL4,3.32471801828455,2.30227096351172,0.403133674071907,2.87871487341059,3.89059253792603,3.85119080475466,3.79041269038504,3.43687218894741
AADACP1,0.993539126214411,0.916016727322329,0,1.98692073031191,1.58005277835867,1.56306401305594,1.69269753153973,1.51300970357205
AADAT,6.7130475188526,2.26704843010529,0.129282050046437,1.15287646936222,6.80559933115327,7.15031291267657,7.06425002598416,7.53810412247051
AAGAB,7.35882755265498,7.55844376611421,7.62183044270668,7.9504226397914,7.52243831280671,7.71014952131109,7.64022674706533,7.82405926261272
AAK1,10.7483434321133,10.3499392386179,10.0706700954362,9.61329996456057,10.7919423088482,10.592469275172,10.490221281342,10.5558557319753
AAMDC,3.80827262282012,4.13590398008493,4.2184581248728,3.54685969659737,3.74163065910969,3.7586252263031,3.77251532217373,3.70002721436476
AAMP,8.30691439162423,8.11974026655186,8.45274933737576,8.61999722649483,7.99814697016063,8.12544051472036,8.01963200330426,8.16128700823795
AANAT,2.78082983062456,2.36804543414468,1.05538367560102,3.06334963479127,3.08152268388451,3.47759212167173,3.7007651296065,2.91322053165915
AAR2,7.61578967546541,7.716555915134,7.96784218230311,8.49837735750431,7.37866092727949,7.35282861048633,7.41154460816848,7.36579818693418
AARD,2.73483420456669,2.12850128385759,0.419428331585503,2.89634870553355,3.32694266237413,3.45056929948462,3.33867080424941,3.83743517878036
AARS1,8.23591682184821,8.81136848054039,9.24746426801845,9.45923983682121,7.99537707672749,7.8098677225281,7.98280395799374,7.83761422359044
AARS1P1,0.645886723148896,0.595697208317775,0,1.24348071099502,0.765865568996104,1.08355250151455,0.500463101014391,0.745638233736466
AARS2,6.86174676757828,7.07432826451682,6.6312936584989,7.34858794706057,6.85082213945226,6.73767813300066,6.63924892118128,6.69638769195678
AARSD1,6.80491098030004,6.82881889449453,5.94792267390299,7.17925111358114,6.4336828267317,6.19359885949506,6.36964066269103,6.21090934012693
AARSD1P1,1.21569682119489,1.37919111468482,1.37911306328076,2.36558090640849,1.43436825848895,1.11128213169106,1.26852931767694,1.34664126313875
AASDH,6.26851657706658,6.28996514357943,5.98121935311509,6.64031633465862,6.19052575777789,6.00894351569238,5.99917590474572,5.8588277958101
AASDHPPT,7.13907030950724,7.59284746557515,7.39435169585437,8.26933245151171,7.08875059715877,6.9818146319547,7.16957217220969,7.07016382521173
AASS,5.1496576769965,4.8717998889878,4.79543876664393,6.4172323195638,5.56922210161898,5.61127492233007,5.23580271184733,5.76018659110589
AATBC,5.95010567937453,3.95331086737948,1.25124230603048,4.7892206373806,6.94392982777201,6.58778446947927,6.69964166342842,6.35889149687218
AATF,9.43377593972624,9.36762188837396,9.02044566405725,9.63915637966006,9.60994774905375,9.92725410247339,10.1265560013832,9.95074999371486
AATK,6.8813499984787,4.98254932412737,2.23902964197563,5.44107012985163,7.57930281894281,7.6668806582574,7.78035885679922,7.45013850128696
AB015752.3,2.8853697542286,2.37731249163948,0.0795873319058651,3.1175254125161,4.30216453426859,3.79619561874576,4.31957497102564,3.61813501544323
AB019438.66,0.217171584084393,0.124163594277253,0,0,0.202801590666497,0.265323362359899,1.03749232362381,0.136087634746168
AB019440.50,0.305298428827714,0.142209841013025,0,0.280966343635924,0.194432821514821,0.572762212754954,0.488878395231133,0.261169553097136
AB019441.29,6.14740710772057,4.44424280713551,6.13523416052956,2.97973259764994,4.97640702760374,4.62003495470406,4.80181277615147,4.52332821345462
ABALON,3.80567812366394,3.13216972267641,3.48593795378985,3.39422209572599,3.86941195882954,3.57716320824757,3.903262430913,3.45077191265733
ABAT,5.86697989174499,6.5318334301333,7.36947859590162,7.41122570509151,6.65477086292475,6.62802241137772,6.6620952394595,6.28671037675668
ABBA01000934.1,0.336426126670754,0.575100321140652,0.89609188293548,0.194620662941689,0.106780597084037,0.335099609926034,0.248009585714512,0.351773006595215
ABBA01045074.1,0.0504185514639925,0.303377736314375,0,0.983386231049399,0.421243803127066,0.289183723253521,0.113301319263251,0
ABBA01045074.2,0.0593586032242742,0.0736445592833737,0,0.0739421103038731,0.313465135966345,0.0437774915964079,0,0.150474269544171
ABC10-43608400O15.1,1.34244170243648,1.98451819038062,0.297221489780334,3.81064443771824,2.0451768934158,2.10651465380049,2.20207951997018,1.771515628912
ABC10-44372100G24.1,6.02724799569558,3.32600145794333,0.909229011412725,2.72863545764021,7.01406347899136,6.86929475187953,7.08438720041259,6.97134758000897
ABC11-4932300O16.1,1.62828802460745,1.75380674716417,0.767954336355672,2.67792742417914,2.72334513144342,2.24485951377821,2.16494155586446,1.7160733130507
ABC12-46663800M24.1,3.26643972394498,1.49136946865412,0.297569933755818,1.02623998806475,3.37961661609722,3.56190497565139,3.89276529877803,3.62757153662921
